anchors,bucket,case_index,graph_folded,graph_max_offset_m,ppo_better,ppo_folded,ppo_max_offset_m,ppo_minus_graph_m
20,Random 16-32,0,0,0.12912230834869415,1,0,0.129116029753253,-6.27859544113929e-06
22,Random 16-32,1,0,0.12766324385286154,1,0,0.12765708725043698,-6.156602424561841e-06
17,Random 16-32,2,0,0.290072016215937,1,0,0.2900455739074544,-2.6442308482588217e-05
32,Random 16-32,3,0,0.11754120601101137,1,0,0.1175300575109986,-1.1148500012769791e-05
28,Random 16-32,4,0,0.2759553323811316,1,0,0.2759351529963418,-2.0179384789820176e-05
31,Random 16-32,5,0,0.1335848226032447,1,0,0.13354419413400356,-4.062846924113295e-05
27,Random 16-32,6,0,0.18932751748083437,0,0,0.1893422033791526,1.4685898318239632e-05
25,Random 16-32,7,0,0.13462632084120907,1,0,0.13462632084002016,-1.1889100814954645e-12
24,Random 16-32,8,0,0.18859683792574836,1,0,0.18857052523190965,-2.6312693838709267e-05
26,Random 16-32,9,0,0.11916698709385279,1,0,0.1191475813914012,-1.940570245158313e-05
30,Random 16-32,10,0,0.09685374820546526,1,0,0.09683664504731924,-1.7103158146014596e-05
18,Random 16-32,11,0,0.10153082533366246,1,0,0.10152029566546311,-1.0529668199352193e-05
20,Random 16-32,12,0,0.14742923737945673,1,0,0.1474173879504311,-1.18494290256288e-05
30,Random 16-32,13,0,0.14101345591666772,1,0,0.14099392720823029,-1.952870843743848e-05
31,Random 16-32,14,0,0.1486271069230546,1,0,0.14858925658037447,-3.78503426801402e-05
24,Random 16-32,15,0,0.1329435353043198,1,0,0.1329262822370531,-1.7253067266687072e-05
23,Random 16-32,16,0,0.14349517200343928,1,0,0.14343401122510835,-6.116077833093203e-05
30,Random 16-32,17,0,0.11467471945519546,1,0,0.11464728090493997,-2.7438550255484695e-05
16,Random 16-32,18,0,0.46543751688682067,1,0,0.4651687864659301,-0.00026873042089059496
31,Random 16-32,19,0,0.2504582319026154,1,0,0.25040579641556293,-5.243548705247125e-05
21,Random 16-32,20,0,0.12419654761530251,1,0,0.12419405020774214,-2.4974075603645396e-06
32,Random 16-32,21,0,0.1401700116822196,1,0,0.14013417441462653,-3.58372675930696e-05
25,Random 16-32,22,0,0.24908847991343744,1,0,0.24907893804462888,-9.541868808554677e-06
26,Random 16-32,23,0,0.09773229616036963,1,0,0.09765749848341021,-7.479767695942052e-05
27,Random 16-32,24,0,0.09731322748789366,1,0,0.09728113445681902,-3.209303107463979e-05
20,Random 16-32,25,0,0.11421123043904466,1,0,0.11420377927465968,-7.451164384983389e-06
16,Random 16-32,26,0,0.11497535643699144,0,0,0.11499010440980374,1.4747972812298449e-05
21,Random 16-32,27,0,0.1474590985429559,1,0,0.14743244440785708,-2.665413509883585e-05
17,Random 16-32,28,0,0.13550038852836604,0,0,0.1355024931982604,2.1046698943649744e-06
31,Random 16-32,29,0,0.21733927522573626,1,0,0.2172878101009801,-5.146512475615039e-05
31,Random 16-32,30,0,0.14445962604750986,1,0,0.14440404596935794,-5.558007815192889e-05
26,Random 16-32,31,0,0.1653881871095728,1,0,0.16533918163950836,-4.9005470064422685e-05
29,Random 16-32,32,0,0.11192105182465666,1,0,0.11189768528503445,-2.3366539622204918e-05
27,Random 16-32,33,0,0.16111027159044697,1,0,0.16108817948648943,-2.2092103957538356e-05
27,Random 16-32,34,0,0.16659911093914995,1,0,0.16657006199461533,-2.9048944534620924e-05
29,Random 16-32,35,0,0.12104103971748326,1,0,0.12100631818429279,-3.472153319046545e-05
21,Random 16-32,36,0,0.2667818622782677,1,0,0.26669280131067735,-8.906096759037085e-05
25,Random 16-32,37,0,0.08940865915759727,1,0,0.08940343904658062,-5.220111016654427e-06
16,Random 16-32,38,0,0.41853530434184993,1,0,0.4184183054661917,-0.0001169988756582474
30,Random 16-32,39,0,0.11903391122060798,1,0,0.11899835283481752,-3.555838579046011e-05
24,Random 16-32,40,0,0.09365330873946619,1,0,0.09362882870102437,-2.4480038441812568e-05
25,Random 16-32,41,0,0.09508696902980766,1,0,0.09507004014654981,-1.6928883257855132e-05
29,Random 16-32,42,0,0.08889230047266998,1,0,0.08887765834002817,-1.4642132641809469e-05
32,Random 16-32,43,0,0.09001320290568762,1,0,0.08998934667037506,-2.3856235312563756e-05
20,Random 16-32,44,0,0.13815293596177652,1,0,0.13813448412722154,-1.8451834554983337e-05
29,Random 16-32,45,0,0.48704505279492194,1,0,0.4862597567814709,-0.0007852960134510645
17,Random 16-32,46,0,0.16676524836253756,1,0,0.16674228234516622,-2.2966017371339742e-05
17,Random 16-32,47,0,0.19352258484045518,1,0,0.19321767175622728,-0.00030491308422789243
30,Random 16-32,48,0,0.118320976786611,1,0,0.11829816495646286,-2.2811830148142254e-05
26,Random 16-32,49,0,0.07950365499575064,1,0,0.07949775781435425,-5.897181396388729e-06
30,Random 16-32,50,0,0.12824136635996275,1,0,0.1281995753380404,-4.17910219223383e-05
19,Random 16-32,51,0,0.07915270436744837,1,0,0.07913727906954225,-1.542529790611591e-05
31,Random 16-32,52,0,0.1315678519483266,1,0,0.13156355112153195,-4.300826794645385e-06
31,Random 16-32,53,0,0.10244413513714824,1,0,0.10243017415052667,-1.3960986621569527e-05
30,Random 16-32,54,0,0.08742135502092661,1,0,0.08740314519411067,-1.82098268159403e-05
32,Random 16-32,55,0,0.1818972746847027,1,0,0.18186071582620536,-3.6558858497348634e-05
18,Random 16-32,56,0,0.14823706211877088,0,0,0.14823985389771402,2.7917789431342044e-06
28,Random 16-32,57,0,0.15590506715473976,1,0,0.15588018008751892,-2.488706722084122e-05
21,Random 16-32,58,0,0.28227914817811545,0,0,0.2822811718193248,2.023641209381033e-06
28,Random 16-32,59,0,0.14043989194349282,1,0,0.1404182671710938,-2.162477239903149e-05
28,Random 16-32,60,0,0.1251023190675289,1,0,0.12510179879899538,-5.202685335048418e-07
25,Random 16-32,61,0,0.15371928931557555,1,0,0.1537043831294506,-1.4906186124957754e-05
30,Random 16-32,62,0,0.22132249250460623,1,0,0.22130755645602515,-1.4936048581076777e-05
29,Random 16-32,63,0,0.38750659579887997,1,0,0.38744780818349367,-5.878761538630206e-05
18,Random 16-32,64,0,0.13942100487031023,1,0,0.13938581810813272,-3.518676217750816e-05
27,Random 16-32,65,0,0.22344847179985233,0,0,0.22351245654785595,6.398474800362042e-05
29,Random 16-32,66,0,0.13722807743851562,1,0,0.13721328231698737,-1.4795121528243804e-05
22,Random 16-32,67,0,0.14708633240757613,1,0,0.1470579674290174,-2.8364978558736986e-05
21,Random 16-32,68,0,0.41244138429138916,1,0,0.41235035975045564,-9.102454093351531e-05
17,Random 16-32,69,0,0.09380735437348549,1,0,0.09378449712214366,-2.285725134182348e-05
19,Random 16-32,70,0,9.632048865961503,1,0,8.577871769163615,-1.054177096797888
22,Random 16-32,71,0,0.34105525708206236,0,0,0.341431003272207,0.0003757461901446324
20,Random 16-32,72,0,0.15506985204393925,1,0,0.1550510338963173,-1.8818147621946224e-05
20,Random 16-32,73,0,0.1467013427148174,1,0,0.14669499066738473,-6.352047432683916e-06
18,Random 16-32,74,0,0.09430797353015641,1,0,0.09429953465463697,-8.43887551943423e-06
29,Random 16-32,75,0,0.1639625074298682,1,0,0.16393576787511704,-2.6739554751159522e-05
17,Random 16-32,76,0,0.15356851642237943,0,0,0.15357016681650237,1.6503941229484287e-06
23,Random 16-32,77,0,0.13757557381966062,1,0,0.13755305695935968,-2.25168603009418e-05
16,Random 16-32,78,0,0.08925314584385648,1,0,0.08925133573214789,-1.8101117085916885e-06
31,Random 16-32,79,0,0.15140239423375973,1,0,0.15138958483608211,-1.2809397677615575e-05
27,Grid >=16,0,0,0.23404073837967046,1,0,0.23398245247808597,-5.828590158449276e-05
20,Grid >=16,1,0,0.1442350578045357,1,0,0.14423505778610135,-1.843433738990541e-11
35,Grid >=16,2,0,0.13463964979116716,1,0,0.13463548987382018,-4.159917346979736e-06
20,Grid >=16,3,0,0.15840510586151013,1,0,0.15838814720738875,-1.6958654121379535e-05
24,Grid >=16,4,0,1.388754344169137,0,0,5.72183161032359,4.3330772661544525
25,Grid >=16,5,0,1.0201756212104667,1,0,1.0197671342949732,-0.0004084869154934445
20,Grid >=16,6,0,0.15439574706994338,0,0,0.15439574710392415,3.398076264815586e-11
20,Grid >=16,7,0,0.14258587568396616,0,0,0.14258587605738826,3.73422098798315e-10
35,Grid >=16,8,0,0.21156920700448512,1,0,0.2115556421353658,-1.3564869119325751e-05
28,Grid >=16,9,0,0.18811521725367517,1,0,0.18787514883919,-0.00024006841448517835
24,Grid >=16,10,0,0.3414490641245966,0,0,0.34148857069391625,3.950656931966945e-05
49,Grid >=16,11,0,0.2635514700461656,1,0,0.26351771380100814,-3.37562451574458e-05
19,Grid >=16,12,0,0.2165523824718838,1,0,0.216542486284903,-9.896186980801192e-06
37,Grid >=16,13,0,0.24921080079471594,0,0,0.2492174968367217,6.696042005760461e-06
21,Grid >=16,14,0,0.21999752132483816,1,0,0.21999539277072985,-2.1285541083049253e-06
24,Grid >=16,15,0,0.15199469048758119,1,0,0.1519748853755427,-1.980511203847346e-05
24,Grid >=16,16,0,0.36651176879005837,1,0,0.3663390578363868,-0.00017271095367155098
20,Grid >=16,17,0,0.15301023890977541,1,0,0.1530102389096763,-9.911516052341085e-14
24,Grid >=16,18,0,0.23574998560153057,1,0,0.23571368352857913,-3.63020729514385e-05
32,Grid >=16,19,0,0.22828640814312356,0,0,0.22830063136818937,1.4223225065806977e-05
19,Grid >=16,20,0,0.19599849626381963,0,0,0.19605312724010301,5.463097628338742e-05
32,Grid >=16,21,0,0.20790465976985015,1,0,0.20789928564387009,-5.37412598006215e-06
18,Grid >=16,22,0,0.20395388257555785,0,0,0.20395628398147939,2.4014059215315964e-06
45,Grid >=16,23,0,0.18560543233993818,1,0,0.18559488104481728,-1.0551295120897475e-05
42,Grid >=16,24,0,0.16257506794787743,0,0,0.16257506799592492,4.80474826591859e-11
22,Grid >=16,25,0,0.22990226706380243,1,0,0.2298858705959294,-1.639646787301996e-05
19,Grid >=16,26,0,1.2671079535177139,0,0,4.690301992784895,3.423194039267181
